(1, 6, 9, 0, 5, 2, 13, 4, 3, 10, 7, 8, 11, 12) : [8]
(3, 10, 7, 0, 9, 2, 1, 4, 5, 6, 13, 8, 11, 12) : [8]
(1, 8, 11, 0, 7, 2, 5, 4, 13, 6, 3, 10, 9, 12) : [8]
(1, 8, 11, 0, 13, 2, 5, 4, 3, 6, 9, 10, 7, 12) : [8]
(1, 6, 5, 0, 9, 2, 13, 4, 3, 12, 11, 8, 7, 10) : [8]
(1, 10, 9, 0, 13, 2, 3, 4, 11, 6, 5, 8, 7, 12) : [8]
(7, 4, 11, 0, 13, 2, 3, 8, 9, 6, 1, 10, 5, 12) : [8]
(1, 12, 11, 0, 9, 2, 3, 4, 13, 6, 5, 8, 7, 10) : [8]
(1, 8, 7, 0, 11, 2, 9, 4, 13, 6, 5, 10, 3, 12) : [8]
(1, 4, 7, 0, 9, 2, 11, 8, 13, 6, 3, 10, 5, 12) : [8]
(3, 6, 9, 0, 1, 2, 13, 4, 5, 12, 11, 8, 7, 10) : [8]
(3, 8, 9, 0, 7, 2, 11, 4, 13, 6, 5, 12, 1, 10) : [8]
(1, 6, 9, 0, 11, 2, 3, 4, 13, 10, 5, 8, 7, 12) : [8]
(1, 10, 11, 0, 9, 2, 3, 4, 5, 6, 13, 8, 7, 12) : [8]
(5, 6, 7, 0, 9, 2, 13, 4, 3, 10, 1, 8, 11, 12) : [8]
(1, 10, 3, 0, 11, 2, 9, 4, 13, 6, 7, 8, 5, 12) : [8]
(3, 12, 9, 0, 11, 2, 1, 4, 5, 6, 13, 8, 7, 10) : [8]
(1, 12, 11, 0, 9, 2, 3, 4, 5, 6, 13, 8, 7, 10) : [8]
(5, 8, 9, 0, 11, 2, 3, 4, 13, 6, 1, 10, 7, 12) : [8]
(5, 12, 11, 0, 13, 2, 3, 4, 1, 6, 7, 8, 9, 10) : [8]
(5, 10, 11, 0, 9, 2, 13, 4, 3, 6, 7, 8, 1, 12) : [8]
(1, 4, 7, 0, 11, 2, 13, 10, 3, 6, 5, 8, 9, 12) : [8]
(1, 2, 5, 0, 9, 6, 7, 4, 13, 10, 3, 8, 11, 12) : [8]
(1, 12, 7, 0, 11, 2, 9, 4, 13, 6, 3, 8, 5, 10) : [8]
