(5, 8, 11, 0, 1, 2, 13, 4, 15, 6, 9, 12, 3, 10, 7, 14): [8]
(5, 10, 9, 0, 13, 2, 15, 4, 3, 6, 7, 8, 1, 12, 11, 14): [8]
(1, 10, 5, 0, 13, 2, 7, 4, 11, 6, 15, 8, 3, 14, 9, 12): [8]
(9, 6, 13, 0, 11, 2, 15, 4, 7, 10, 3, 8, 5, 12, 1, 14): [8]
(1, 12, 13, 0, 7, 2, 11, 4, 3, 6, 15, 8, 5, 10, 9, 14): [8]
(1, 6, 15, 0, 9, 2, 13, 4, 11, 12, 5, 8, 3, 10, 7, 14): [8]
(1, 10, 11, 0, 13, 2, 7, 4, 5, 6, 15, 8, 9, 14, 3, 12): [8]
(1, 10, 11, 0, 9, 2, 13, 4, 5, 6, 15, 8, 3, 12, 7, 14): [8]
(9, 6, 13, 0, 11, 2, 15, 4, 3, 10, 7, 8, 1, 12, 5, 14): [8]
(1, 12, 13, 0, 9, 2, 15, 4, 11, 6, 3, 8, 7, 10, 5, 14): [8]
(1, 4, 7, 0, 13, 2, 15, 10, 5, 6, 11, 8, 3, 14, 9, 12): [8]
(1, 10, 11, 0, 13, 2, 7, 4, 5, 6, 15, 8, 3, 12, 9, 14): [8]
(1, 10, 11, 0, 9, 2, 13, 4, 5, 6, 15, 8, 3, 14, 7, 12): [8]
(5, 10, 9, 0, 1, 2, 11, 4, 13, 6, 15, 8, 7, 12, 3, 14): [8]
(5, 10, 9, 0, 13, 2, 11, 4, 15, 6, 7, 8, 3, 12, 1, 14): [8]
(7, 4, 11, 0, 13, 2, 1, 10, 5, 6, 15, 8, 9, 14, 3, 12): [8]
(1, 10, 9, 0, 13, 2, 7, 4, 5, 6, 15, 8, 11, 14, 3, 12): [8]
(1, 10, 11, 0, 13, 2, 7, 4, 15, 6, 5, 8, 9, 14, 3, 12): [8]
(1, 6, 9, 0, 15, 2, 3, 4, 13, 14, 11, 8, 7, 10, 5, 12): [8]
(1, 8, 11, 0, 5, 2, 13, 4, 15, 6, 9, 12, 3, 10, 7, 14): [8]
(3, 4, 13, 0, 7, 2, 5, 10, 11, 6, 15, 8, 9, 12, 1, 14): [8]
(1, 6, 7, 0, 9, 2, 15, 4, 5, 14, 3, 8, 13, 10, 11, 12): [8]
(7, 4, 11, 0, 13, 2, 1, 10, 5, 6, 15, 8, 3, 12, 9, 14): [8]
(1, 14, 7, 0, 13, 2, 15, 4, 11, 6, 3, 8, 9, 10, 5, 12): [9]
(1, 12, 9, 0, 11, 2, 3, 4, 15, 6, 13, 8, 7, 10, 5, 14): [9]
(5, 6, 7, 0, 9, 2, 13, 4, 3, 10, 11, 8, 1, 14, 15, 12): [9]
(1, 12, 5, 0, 13, 2, 11, 4, 3, 6, 7, 8, 15, 10, 9, 14): [9]
(1, 6, 9, 0, 7, 2, 15, 4, 3, 14, 13, 8, 5, 10, 11, 12): [9]
(1, 6, 5, 0, 9, 2, 11, 4, 3, 12, 13, 8, 15, 10, 7, 14): [9]
(5, 12, 9, 0, 13, 2, 11, 4, 1, 6, 15, 8, 7, 10, 3, 14): [9]
(1, 10, 7, 0, 13, 2, 11, 4, 5, 6, 15, 8, 9, 14, 3, 12): [9]
(3, 6, 9, 0, 13, 2, 11, 4, 15, 12, 1, 8, 5, 10, 7, 14): [9]
(3, 12, 9, 0, 15, 2, 1, 4, 13, 6, 5, 8, 7, 10, 11, 14): [9]
