(1, 4, 5, 0, 7, 2, 3, 6): [6]
(5, 2, 7, 0, 1, 4, 3, 6): [6]
(1, 2, 5, 0, 3, 6, 7, 4): [6]
(3, 4, 5, 0, 7, 2, 1, 6): [7]
(1, 4, 3, 0, 7, 2, 5, 6): [7]
(1, 6, 5, 0, 7, 2, 3, 4): [7]
(1, 6, 7, 0, 5, 2, 3, 4): [7]
(5, 2, 7, 0, 3, 4, 1, 6): [7]
(1, 2, 5, 0, 7, 4, 3, 6): [7]
(1, 2, 5, 0, 7, 6, 3, 4): [8]
(5, 6, 7, 0, 1, 2, 3, 4): [8]
(3, 0, 5, 2, 7, 4, 1, 6): [8]
(5, 2, 7, 0, 3, 6, 1, 4): [8]
(1, 6, 3, 0, 5, 2, 7, 4): [8]
(3, 4, 1, 0, 7, 2, 5, 6): [8]
(1, 4, 7, 0, 3, 2, 5, 6): [8]
(1, 6, 7, 0, 3, 2, 5, 4): [10]
(3, 2, 5, 0, 7, 4, 1, 6): [10]
(1, 6, 3, 0, 7, 2, 5, 4): [10]
(3, 6, 7, 0, 1, 2, 5, 4): [10]
(5, 4, 1, 0, 7, 2, 3, 6): [10]
(3, 2, 1, 0, 7, 6, 5, 4): [16]
(7, 6, 1, 0, 3, 2, 5, 4): [16]
(1, 0, 5, 2, 7, 4, 3, 6): [16]
(3, 6, 1, 0, 7, 2, 5, 4): [16]
(1, 2, 5, 0, 3, 4, 7, 6): [16]
(1, 2, 3, 0, 7, 4, 5, 6): [16]
(1, 4, 5, 0, 3, 2, 7, 6): [16]
(3, 2, 1, 0, 5, 4, 7, 6): [16]
(5, 4, 1, 0, 3, 2, 7, 6): [16]
(3, 4, 5, 0, 1, 2, 7, 6): [16]
(1, 2, 3, 0, 5, 6, 7, 4): [16]
(3, 6, 5, 0, 7, 2, 1, 4): [16]
(1, 2, 3, 0, 7, 6, 5, 4): [16]
(5, 2, 7, 0, 1, 6, 3, 4): [16]
(1, 2, 3, 0, 5, 4, 7, 6): [16]
(3, 2, 5, 0, 7, 6, 1, 4): [16]
(3, 2, 5, 0, 1, 4, 7, 6): [16]
(3, 2, 1, 0, 7, 4, 5, 6): [16]
(1, 4, 3, 0, 5, 2, 7, 6): [16]
(3, 0, 1, 2, 7, 4, 5, 6): [16]
(1, 0, 3, 2, 5, 4, 7, 6): [16]
(1, 0, 3, 2, 7, 4, 5, 6): [16]
