(1, 2, 5, 0, 3, 6, 9, 4, 7, 8): [7, 11, 13]
(1, 6, 5, 0, 9, 2, 3, 4, 7, 8): [7, 11, 13]
(1, 6, 9, 0, 7, 2, 3, 4, 5, 8): [7, 11, 13]
(3, 4, 7, 0, 9, 2, 1, 6, 5, 8): [7, 11, 13]
(1, 4, 5, 0, 7, 2, 3, 8, 9, 6): [7, 11, 13]
(1, 4, 7, 0, 9, 2, 5, 6, 3, 8): [8, 11, 14]
(1, 6, 7, 0, 5, 2, 9, 4, 3, 8): [8, 11, 14]
(3, 4, 7, 0, 9, 2, 5, 6, 1, 8): [8, 11, 14]
(1, 8, 5, 0, 9, 2, 7, 4, 3, 6): [8, 11, 14]
(1, 6, 3, 0, 7, 2, 9, 4, 5, 8): [8, 12, 14]
(1, 4, 5, 0, 7, 2, 9, 6, 3, 8): [8, 12, 14]
(1, 6, 7, 0, 9, 2, 3, 4, 5, 8): [8, 11, 15]
(1, 4, 3, 0, 7, 2, 5, 8, 9, 6): [8, 11, 15]
(1, 6, 5, 0, 7, 2, 9, 4, 3, 8): [8, 12, 15]
(1, 2, 5, 0, 9, 6, 3, 4, 7, 8): [8, 12, 15]
(3, 6, 7, 0, 1, 2, 9, 4, 5, 8): [8, 12, 15]
(3, 4, 5, 0, 7, 2, 9, 6, 1, 8): [8, 12, 15]
(5, 2, 7, 0, 1, 4, 9, 6, 3, 8): [8, 12, 15]
(1, 4, 3, 0, 7, 2, 9, 6, 5, 8): [8, 12, 15]
(1, 6, 7, 0, 3, 2, 9, 4, 5, 8): [8, 12, 15]
(1, 8, 3, 0, 7, 2, 9, 4, 5, 6): [8, 12, 15]
(3, 4, 7, 0, 9, 2, 5, 8, 1, 6): [8, 12, 15]
(1, 6, 7, 0, 9, 2, 5, 4, 3, 8): [8, 12, 15]
(3, 8, 7, 0, 1, 2, 9, 4, 5, 6): [8, 12, 15]
(3, 8, 7, 0, 9, 2, 1, 4, 5, 6): [8, 12, 15]
(1, 8, 9, 0, 7, 2, 3, 4, 5, 6): [8, 12, 15]
(3, 6, 7, 0, 9, 2, 5, 4, 1, 8): [8, 12, 15]
(3, 4, 7, 0, 9, 2, 1, 8, 5, 6): [9, 12, 15]
(1, 4, 7, 0, 3, 2, 5, 8, 9, 6): [8, 13, 15]
(1, 8, 5, 0, 9, 2, 3, 4, 7, 6): [8, 13, 15]
(5, 4, 7, 0, 9, 2, 3, 6, 1, 8): [8, 13, 15]
(1, 4, 7, 0, 9, 2, 3, 6, 5, 8): [8, 11, 16]
(3, 6, 9, 0, 1, 2, 5, 4, 7, 8): [8, 12, 16]
(1, 2, 5, 0, 9, 6, 7, 4, 3, 8): [8, 12, 16]
(3, 6, 5, 0, 1, 2, 9, 4, 7, 8): [9, 12, 16]
(5, 2, 7, 0, 3, 4, 9, 6, 1, 8): [9, 12, 16]
(1, 8, 3, 0, 9, 2, 7, 4, 5, 6): [9, 12, 16]
(5, 2, 7, 0, 3, 6, 9, 4, 1, 8): [9, 12, 16]
(3, 4, 5, 0, 7, 2, 1, 8, 9, 6): [9, 12, 16]
(5, 6, 7, 0, 1, 2, 9, 4, 3, 8): [9, 12, 16]
(1, 4, 7, 0, 9, 2, 5, 8, 3, 6): [9, 12, 16]
(1, 8, 7, 0, 9, 2, 3, 4, 5, 6): [9, 12, 16]
(3, 4, 1, 0, 7, 2, 5, 8, 9, 6): [9, 12, 16]
(1, 8, 7, 0, 3, 2, 9, 4, 5, 6): [8, 13, 16]
(3, 8, 5, 0, 9, 2, 1, 4, 7, 6): [9, 13, 16]
(1, 6, 3, 0, 5, 2, 9, 4, 7, 8): [9, 12, 17]
(1, 2, 5, 0, 7, 4, 9, 6, 3, 8): [9, 13, 17]
(5, 8, 1, 0, 9, 2, 3, 4, 7, 6): [9, 13, 17]
