(9, 6, 13, 0, 11, 2, 15, 4, 3, 10, 7, 8, 1, 12, 5, 14) : [8, 44, 44, 15]
(1, 6, 7, 0, 9, 2, 15, 4, 5, 14, 3, 8, 13, 10, 11, 12) : [8, 44, 44, 15]
(1, 12, 9, 0, 5, 2, 15, 4, 11, 6, 3, 8, 7, 10, 13, 14) : [8, 44, 44, 16]
(1, 4, 13, 0, 7, 2, 9, 10, 3, 6, 15, 8, 11, 12, 5, 14) : [8, 44, 44, 16]
(1, 4, 7, 0, 11, 2, 5, 8, 13, 6, 15, 12, 3, 10, 9, 14) : [8, 42, 43, 16]
(1, 4, 7, 0, 11, 2, 5, 8, 15, 6, 9, 12, 3, 10, 13, 14) : [8, 43, 42, 16]
(1, 12, 11, 0, 9, 2, 13, 4, 15, 6, 3, 8, 7, 10, 5, 14) : [8, 43, 42, 16]
(1, 10, 13, 0, 7, 2, 11, 4, 3, 6, 15, 8, 5, 14, 9, 12) : [8, 42, 42, 16]
(5, 8, 11, 0, 1, 2, 13, 4, 15, 6, 9, 12, 3, 10, 7, 14) : [8, 42, 42, 16]
(3, 12, 9, 0, 15, 2, 13, 4, 5, 6, 1, 8, 7, 10, 11, 14) : [8, 42, 42, 16]
(1, 6, 7, 0, 9, 2, 13, 4, 3, 12, 11, 8, 15, 10, 5, 14) : [8, 42, 42, 16]
(1, 6, 15, 0, 9, 2, 13, 4, 11, 12, 5, 8, 3, 10, 7, 14) : [8, 42, 42, 16]
(1, 6, 7, 0, 15, 2, 9, 4, 5, 12, 3, 8, 13, 10, 11, 14) : [8, 42, 42, 16]
(1, 10, 7, 0, 13, 2, 9, 4, 15, 6, 5, 8, 3, 14, 11, 12) : [8, 42, 42, 16]
(3, 8, 11, 0, 9, 2, 13, 4, 15, 6, 1, 12, 7, 10, 5, 14) : [8, 42, 42, 16]
(1, 4, 13, 0, 7, 2, 9, 10, 3, 6, 15, 8, 5, 14, 11, 12) : [8, 42, 42, 16]
(1, 10, 11, 0, 9, 2, 13, 4, 5, 6, 15, 8, 3, 14, 7, 12) : [8, 42, 42, 16]
(1, 10, 13, 0, 11, 2, 15, 4, 3, 6, 7, 8, 9, 12, 5, 14) : [8, 42, 42, 16]
(1, 12, 11, 0, 9, 2, 7, 4, 15, 6, 5, 8, 3, 10, 13, 14) : [8, 44, 44, 17]
(1, 10, 13, 0, 9, 2, 3, 4, 15, 6, 7, 8, 5, 12, 11, 14) : [8, 44, 44, 17]
(1, 10, 11, 0, 9, 2, 13, 4, 5, 6, 15, 8, 7, 14, 3, 12) : [8, 44, 44, 17]
(7, 4, 11, 0, 15, 2, 1, 8, 13, 6, 9, 12, 5, 10, 3, 14) : [8, 44, 44, 17]
(1, 14, 7, 0, 15, 2, 13, 4, 5, 6, 11, 8, 3, 10, 9, 12) : [8, 43, 44, 17]
