(3, 4, 7, 0, 11, 2, 1, 8, 9, 6, 5, 10): [8, 12, 15, 15, 37, 37, 15]
(3, 8, 7, 0, 11, 2, 1, 4, 5, 6, 9, 10): [8, 12, 15, 15, 36, 36, 15]
(1, 10, 5, 0, 9, 2, 3, 4, 11, 6, 7, 8): [9, 12, 16, 16, 36, 36, 15]
(3, 4, 11, 0, 7, 2, 5, 8, 9, 6, 1, 10): [8, 12, 15, 15, 37, 37, 16]
(1, 6, 7, 0, 5, 2, 9, 4, 3, 10, 11, 8): [8, 12, 15, 15, 36, 36, 16]
(1, 6, 5, 0, 9, 2, 11, 4, 3, 8, 7, 10): [9, 12, 16, 16, 36, 36, 16]
(1, 8, 7, 0, 5, 2, 11, 4, 3, 6, 9, 10): [9, 12, 16, 16, 36, 36, 16]
(1, 4, 5, 0, 11, 2, 3, 8, 9, 6, 7, 10): [9, 13, 16, 16, 36, 36, 16]
(1, 2, 5, 0, 3, 6, 9, 4, 7, 10, 11, 8): [8, 12, 15, 15, 37, 37, 17]
(5, 2, 9, 0, 3, 6, 11, 4, 1, 8, 7, 10): [9, 13, 16, 16, 36, 36, 17]
