(1, 6, 5, 0, 9, 2, 3, 4, 7, 8) : [7, 35, 35]
(1, 6, 9, 0, 7, 2, 3, 4, 5, 8) : [7, 35, 35]
(3, 4, 7, 0, 9, 2, 1, 6, 5, 8) : [7, 34, 34]
(1, 4, 5, 0, 7, 2, 3, 8, 9, 6) : [7, 34, 34]
(3, 4, 7, 0, 9, 2, 5, 6, 1, 8) : [7, 34, 34]
(1, 8, 5, 0, 9, 2, 7, 4, 3, 6) : [7, 34, 34]
(1, 2, 5, 0, 3, 6, 9, 4, 7, 8) : [7, 33, 33]
(1, 4, 7, 0, 9, 2, 5, 6, 3, 8) : [7, 32, 32]
(1, 2, 5, 0, 9, 6, 3, 4, 7, 8) : [7, 32, 32]
(1, 6, 7, 0, 9, 2, 3, 4, 5, 8) : [7, 32, 32]
(1, 2, 5, 0, 9, 6, 7, 4, 3, 8) : [7, 32, 32]
(1, 6, 7, 0, 5, 2, 9, 4, 3, 8) : [7, 32, 32]
(1, 4, 7, 0, 9, 2, 3, 6, 5, 8) : [7, 32, 32]
(1, 8, 9, 0, 7, 2, 3, 4, 5, 6) : [7, 31, 31]
