(3, 6, 9, 0, 7, 2, 13, 4, 5, 14, 15, 8, 1, 10, 11, 12) : [8, 44, 44]
(3, 4, 7, 0, 13, 2, 9, 10, 1, 6, 15, 8, 11, 12, 5, 14) : [8, 44, 44]
(1, 12, 9, 0, 5, 2, 15, 4, 11, 6, 3, 8, 7, 10, 13, 14) : [8, 44, 44]
(1, 6, 9, 0, 13, 2, 3, 4, 15, 10, 7, 8, 11, 14, 5, 12) : [8, 44, 44]
(5, 6, 9, 0, 1, 2, 13, 4, 7, 10, 11, 8, 3, 14, 15, 12) : [8, 44, 44]
(1, 14, 7, 0, 13, 2, 3, 4, 9, 6, 15, 8, 5, 10, 11, 12) : [8, 44, 44]
(5, 6, 9, 0, 1, 2, 13, 4, 3, 10, 15, 8, 11, 12, 7, 14) : [8, 44, 44]
(1, 6, 9, 0, 5, 2, 13, 4, 3, 10, 15, 8, 11, 14, 7, 12) : [8, 44, 44]
(3, 10, 7, 0, 13, 2, 9, 4, 1, 6, 15, 8, 11, 14, 5, 12) : [8, 44, 44]
(9, 6, 13, 0, 11, 2, 15, 4, 3, 10, 7, 8, 1, 12, 5, 14) : [8, 44, 44]
(1, 12, 11, 0, 9, 2, 7, 4, 15, 6, 5, 8, 3, 10, 13, 14) : [8, 44, 44]
(1, 10, 13, 0, 9, 2, 3, 4, 15, 6, 7, 8, 5, 12, 11, 14) : [8, 44, 44]
(9, 6, 13, 0, 11, 2, 15, 4, 5, 10, 1, 8, 3, 12, 7, 14) : [8, 44, 44]
(1, 10, 11, 0, 9, 2, 13, 4, 5, 6, 15, 8, 7, 14, 3, 12) : [8, 44, 44]
(7, 4, 11, 0, 13, 2, 5, 10, 3, 6, 15, 8, 1, 12, 9, 14) : [8, 44, 44]
(7, 4, 11, 0, 15, 2, 1, 8, 13, 6, 9, 12, 5, 10, 3, 14) : [8, 44, 44]
(9, 6, 13, 0, 11, 2, 15, 4, 1, 10, 5, 8, 7, 14, 3, 12) : [8, 44, 44]
(9, 6, 13, 0, 11, 2, 15, 4, 7, 10, 3, 8, 1, 14, 5, 12) : [8, 44, 44]
(9, 6, 11, 0, 13, 2, 15, 4, 1, 8, 7, 10, 5, 12, 3, 14) : [8, 44, 44]
(1, 6, 9, 0, 5, 2, 13, 4, 7, 10, 15, 8, 3, 14, 11, 12) : [8, 44, 44]
(9, 6, 11, 0, 13, 2, 15, 4, 3, 8, 5, 10, 7, 12, 1, 14) : [8, 44, 44]
(9, 6, 13, 0, 11, 2, 15, 4, 1, 10, 5, 8, 7, 12, 3, 14) : [8, 44, 44]
(5, 12, 9, 0, 1, 2, 13, 4, 15, 6, 3, 8, 7, 10, 11, 14) : [8, 44, 44]
(9, 6, 13, 0, 11, 2, 15, 4, 7, 10, 3, 8, 1, 12, 5, 14) : [8, 44, 44]
(1, 6, 9, 0, 5, 2, 13, 4, 11, 14, 3, 8, 15, 10, 7, 12) : [8, 44, 44]
(1, 6, 7, 0, 9, 2, 15, 4, 5, 14, 3, 8, 13, 10, 11, 12) : [8, 44, 44]
(9, 6, 13, 0, 11, 2, 15, 4, 3, 10, 7, 8, 5, 12, 1, 14) : [8, 44, 44]
(1, 4, 13, 0, 7, 2, 9, 10, 3, 6, 15, 8, 11, 12, 5, 14) : [8, 44, 44]
(1, 6, 7, 0, 9, 2, 15, 4, 13, 14, 11, 8, 5, 10, 3, 12) : [8, 44, 44]
