(9, 6, 13, 0, 11, 2, 15, 4, 3, 10, 7, 8, 1, 12, 5, 14): [8, 13, 15, 15, 44, 44]
(1, 12, 9, 0, 5, 2, 15, 4, 11, 6, 3, 8, 7, 10, 13, 14): [9, 13, 16, 16, 44, 44]
(1, 12, 11, 0, 9, 2, 7, 4, 15, 6, 5, 8, 3, 10, 13, 14): [9, 13, 17, 17, 44, 44]
(1, 10, 11, 0, 9, 2, 13, 4, 5, 6, 15, 8, 7, 14, 3, 12): [9, 13, 17, 17, 44, 44]
(1, 14, 7, 0, 15, 2, 13, 4, 5, 6, 11, 8, 3, 10, 9, 12): [9, 13, 17, 17, 43, 44]
(1, 14, 13, 0, 9, 2, 3, 4, 15, 6, 11, 8, 7, 10, 5, 12): [9, 13, 17, 17, 44, 43]
(1, 6, 9, 0, 13, 2, 3, 4, 7, 12, 5, 8, 15, 10, 11, 14): [9, 13, 17, 17, 43, 43]
(5, 10, 9, 0, 1, 2, 13, 4, 3, 6, 15, 8, 11, 12, 7, 14): [9, 13, 17, 17, 43, 43]
(7, 4, 11, 0, 15, 2, 3, 8, 13, 6, 9, 12, 1, 10, 5, 14): [9, 13, 17, 17, 43, 43]
(1, 10, 7, 0, 13, 2, 11, 4, 5, 6, 3, 8, 9, 14, 15, 12): [9, 13, 17, 17, 43, 43]
(3, 10, 11, 0, 13, 2, 9, 4, 15, 6, 7, 8, 1, 14, 5, 12): [9, 13, 17, 17, 43, 43]
(7, 4, 11, 0, 13, 2, 3, 10, 1, 6, 15, 8, 9, 14, 5, 12): [9, 13, 17, 17, 43, 43]
(7, 8, 9, 0, 11, 2, 15, 4, 13, 6, 3, 14, 1, 10, 5, 12): [9, 14, 17, 17, 43, 43]
(1, 14, 7, 0, 15, 2, 13, 4, 3, 6, 11, 8, 5, 10, 9, 12): [9, 14, 17, 17, 43, 43]
(7, 8, 11, 0, 1, 2, 15, 4, 13, 6, 9, 12, 3, 10, 5, 14): [9, 14, 17, 17, 43, 43]
(5, 8, 9, 0, 11, 2, 1, 4, 13, 6, 7, 14, 3, 10, 15, 12): [9, 14, 17, 17, 43, 43]
(5, 10, 9, 0, 13, 2, 3, 4, 15, 6, 7, 8, 11, 12, 1, 14): [9, 14, 17, 17, 43, 43]
