(3, 4, 7, 0, 11, 2, 1, 8, 9, 6, 5, 10) : [7, 37, 37, 15, 15, 12]
(1, 2, 5, 0, 3, 6, 9, 4, 7, 10, 11, 8) : [7, 37, 37, 15, 15, 12]
(3, 4, 11, 0, 7, 2, 5, 8, 9, 6, 1, 10) : [7, 37, 37, 15, 15, 12]
(1, 4, 5, 0, 7, 2, 3, 8, 11, 6, 9, 10) : [7, 37, 37, 15, 15, 12]
(5, 2, 9, 0, 1, 6, 11, 4, 3, 8, 7, 10) : [7, 37, 37, 15, 15, 12]
(7, 4, 9, 0, 11, 2, 1, 6, 5, 8, 3, 10) : [7, 36, 36, 15, 15, 12]
(1, 6, 9, 0, 7, 2, 3, 4, 5, 10, 11, 8) : [7, 35, 35, 15, 15, 12]
(1, 6, 9, 0, 7, 2, 11, 4, 3, 8, 5, 10) : [7, 36, 36, 16, 16, 12]
(1, 10, 11, 0, 9, 2, 7, 4, 5, 6, 3, 8) : [7, 35, 35, 17, 17, 12]
(7, 4, 9, 0, 11, 2, 5, 6, 1, 8, 3, 10) : [7, 35, 35, 17, 17, 12]
(7, 4, 11, 0, 9, 2, 1, 10, 5, 6, 3, 8) : [7, 35, 35, 17, 17, 12]
(1, 4, 7, 0, 11, 2, 5, 8, 9, 6, 3, 10) : [7, 35, 35, 16, 16, 13]
